emotion,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11
sad,-607.47,47.07704,-4.7926445,14.605791,-1.8017403,-5.2526946,-10.085372,-18.825283,-10.671866,-0.8255747,-9.259227,1.567165,-8.888568,0.5053388,0.5392222,0.49215794,0.46834153,0.46235478,0.52570647,0.52779955,0.55406094,0.60624075,0.6050523,0.60388523,0.5708299
sad,-592.2696,43.40025,-3.3186479,13.343329,-3.2777643,-5.0254827,-10.850559,-16.18702,-9.394396,0.2740884,-8.029783,1.4333239,-9.904449,0.5422479,0.5237429,0.51511204,0.5292697,0.51134604,0.5220489,0.5284573,0.5372159,0.5122712,0.5002101,0.57560796,0.5819725
angry,-534.05237,34.978027,-3.5949752,11.610252,-5.7629566,-3.454508,-3.798854,-9.873667,-10.285377,1.0964575,-7.1191554,0.7013888,-7.5805855,0.43165612,0.51162195,0.5534291,0.5622944,0.5015525,0.5182628,0.5200105,0.4819728,0.47203532,0.5815341,0.5806026,0.4298701
angry,-519.04816,34.33238,-5.342272,7.6891265,-7.728429,-4.1421843,-11.348422,-12.63518,-11.618584,-2.9119444,-9.606558,-1.5926797,-7.8452177,0.4496306,0.5016465,0.47582608,0.48429614,0.49830633,0.5494641,0.53008235,0.5896357,0.5750104,0.5305778,0.50843257,0.4593111
angry,-565.1883,40.05792,-0.66624534,10.573722,-4.050436,-3.0465868,-8.571688,-13.228572,-8.996064,-1.9644213,-6.4761395,-0.01776252,-7.9158025,0.5202381,0.49703932,0.457916,0.5386762,0.5727373,0.51350844,0.5337154,0.607479,0.5833425,0.54078776,0.55975616,0.49392453
angry,-526.5581,40.196915,-3.7958853,9.093003,-4.7611094,-3.3927867,-7.620163,-14.923835,-10.370462,-0.80400306,-8.394026,2.3007565,-9.210727,0.43265507,0.5280647,0.5345132,0.4913776,0.4744526,0.4715417,0.45659867,0.5412741,0.55543196,0.5159445,0.51621795,0.48885888
angry,-337.24527,21.516478,-18.826561,-1.5073013,-12.813228,-5.734181,-19.068003,-12.460266,-13.387141,-3.0808504,-8.350034,-4.607519,-8.893251,0.34817788,0.42547262,0.45718375,0.52868605,0.55411357,0.55003554,0.5237525,0.62053007,0.53657156,0.4443504,0.46110767,0.3986356
angry,-357.61752,13.785372,-17.025623,0.006647709,-12.294668,-8.079639,-13.780131,-13.327694,-15.969634,-1.8088094,-12.337055,-1.6457754,-7.8102527,0.31538337,0.3897704,0.37046623,0.3004463,0.4455858,0.55408347,0.36938497,0.29272398,0.3486711,0.3620619,0.37675714,0.3549501
angry,-388.71484,23.060242,-14.33846,3.2727418,-9.04869,-6.725444,-14.610427,-15.102851,-13.343773,-1.1652554,-12.54646,0.136937,-9.1742115,0.38728777,0.44399896,0.36857232,0.41534007,0.4679663,0.5958832,0.49535248,0.4812159,0.54968387,0.49438998,0.5008949,0.3776471
angry,-288.956,14.999517,-20.2498,-4.9438157,-11.165282,-11.91894,-18.40666,-13.783508,-15.445488,0.046605486,-11.657056,-3.6020386,-7.1541166,0.27085468,0.27661738,0.30717987,0.3946223,0.48200285,0.48285407,0.42753667,0.48705593,0.5359028,0.43180856,0.39301416,0.3483337
fearful,-585.5162,54.850727,1.143878,17.882158,1.0778503,-3.6330147,-8.632897,-14.113904,-5.2356615,-0.68151796,-0.43873578,4.694505,-5.744954,0.6118826,0.5322429,0.485874,0.4841485,0.49185187,0.49278095,0.43692422,0.45645466,0.467429,0.4755657,0.53485346,0.5766625
fearful,-597.32153,50.840603,-7.633775,12.042746,-1.660592,-6.483013,-13.43223,-18.339567,-8.896203,-1.8715373,-8.021989,0.9602665,-8.817257,0.39017114,0.39456114,0.41286692,0.4474196,0.406942,0.4787807,0.5204975,0.62512875,0.56172943,0.44961083,0.40961024,0.44368926
fearful,-611.0732,58.111893,8.016992,20.353622,5.4318013,2.4865935,-6.7541385,-9.492913,-3.2802,1.6995196,-0.76240695,3.866754,-3.681941,0.520437,0.5545219,0.5004054,0.4562246,0.46694845,0.48717254,0.49417266,0.60498554,0.6408625,0.6392723,0.5628144,0.5417911
fearful,-612.7057,53.906128,-3.5117192,17.777882,0.572248,-0.69930005,-11.2709255,-12.810475,-3.788733,0.63445014,-2.4412038,0.6521946,-4.33797,0.582629,0.5121226,0.4856672,0.4875561,0.4681223,0.49367803,0.6038362,0.5801852,0.49783552,0.49168473,0.5664058,0.6048457
fearful,-423.73782,45.013477,-13.370381,6.339218,1.947281,2.951751,-14.347461,-15.163814,-7.2976146,5.1179457,-6.006179,1.9763619,-5.1066127,0.34095088,0.38352418,0.39457643,0.3948363,0.5193509,0.61340183,0.44892982,0.4586168,0.49461958,0.42987502,0.3751857,0.374677
fearful,-396.55222,38.0654,-22.388903,0.25306782,0.46698663,-5.560601,-18.55605,-18.556978,-12.357904,-2.627284,-12.172205,-4.280324,-7.6666026,0.29299298,0.3747314,0.3681164,0.29063818,0.3204788,0.46739584,0.3847447,0.44222128,0.5366321,0.41651812,0.3805037,0.3614593
fearful,-358.88696,34.035267,-18.22131,-0.7502502,-7.1906147,-2.5802512,-21.607409,-19.27467,-14.751152,-1.6617382,-10.945922,-5.6125274,-11.382005,0.3722006,0.4207391,0.38160044,0.31831518,0.4706253,0.62805504,0.46979135,0.4187984,0.41936415,0.3748945,0.37998983,0.34303248
fearful,-415.21292,40.25384,-19.091866,-0.13605636,-0.40340585,-4.616887,-21.602455,-16.94002,-16.143114,4.6359725,-10.505513,-5.2001114,-9.305202,0.38558778,0.38673726,0.3234968,0.30871594,0.42736304,0.52688783,0.4280735,0.48300692,0.42636037,0.3515685,0.3987356,0.35807845
disgust,-627.39307,56.06404,-3.1170433,11.499461,1.0033991,-3.9210415,-9.995579,-13.605495,-9.50938,0.43244794,-8.993285,-1.8622808,-8.753814,0.46372947,0.46256873,0.4681355,0.44329277,0.49628705,0.5272166,0.5183203,0.502594,0.5082941,0.5328947,0.5769144,0.48960048
disgust,-610.0479,48.85015,-1.9084806,5.624961,1.6951036,-6.3217783,-10.509713,-12.423804,-10.028683,0.81526184,-8.447666,-2.486566,-5.8485193,0.42301565,0.44821382,0.5134486,0.53943074,0.5230939,0.50625527,0.53950226,0.5975404,0.5055244,0.4457731,0.47452664,0.49934924
disgust,-648.0569,64.78989,1.1125653,11.524224,-1.393087,1.867095,-15.299743,-10.772554,-5.390512,-1.4634404,-5.008586,-0.73063296,-9.1686945,0.4845524,0.54979116,0.5901187,0.58633304,0.5227888,0.46373647,0.50767404,0.54422396,0.51041406,0.47115862,0.46678835,0.4410553
disgust,-653.422,48.335278,0.047554906,8.156981,-1.5712833,1.181289,-13.678329,-8.951735,-4.7596083,1.208193,-5.4555316,-0.2062848,-8.210209,0.5483955,0.55517346,0.5358218,0.5709613,0.5384081,0.5945196,0.58614224,0.5863726,0.533575,0.55890334,0.5580548,0.50230706
disgust,-481.53232,40.51122,-11.4748,-7.901347,-8.84157,-4.329026,-21.803673,-16.078203,-10.888158,-2.1328387,-7.028794,-6.3797936,-8.543224,0.30324042,0.3613659,0.39404163,0.5083091,0.51237863,0.45480123,0.4834628,0.5518397,0.5225441,0.480995,0.4321763,0.3263884
disgust,-482.12827,29.041338,-9.195027,-0.7885425,-10.992719,-12.008076,-23.950525,-10.299276,-9.48753,-3.0031817,-8.659333,-6.1682568,-10.909006,0.3727122,0.40988937,0.4676453,0.4558141,0.45258442,0.55948395,0.50702333,0.529017,0.52900946,0.5277762,0.5402441,0.4675267
disgust,-512.09625,42.783077,6.04263,-5.242643,-6.3009214,-3.665944,-22.414442,-7.779645,-10.260761,-9.143557,-4.59229,-8.357699,-12.840344,0.48011094,0.44443104,0.42006275,0.4563168,0.5738852,0.5531316,0.5018356,0.48713514,0.37711653,0.39966255,0.45697954,0.45937964
disgust,-495.75964,39.893974,-4.2754593,-1.8386264,-4.6929736,-6.680155,-21.447659,-10.417933,-8.446338,-5.461118,-8.873238,-6.030995,-9.524894,0.3682452,0.42987978,0.46487695,0.49253723,0.52243507,0.5713004,0.54208046,0.5839422,0.59269166,0.5436609,0.5337174,0.4631441
surprised,-653.802,49.179478,-2.799431,10.681282,-0.84305197,-4.8481417,-8.816074,-9.559468,-9.580914,0.39461032,-6.9830184,0.11931382,-8.210438,0.48595458,0.5584996,0.54753685,0.5322171,0.55982214,0.58453184,0.5739466,0.6765856,0.6483181,0.6081386,0.59976697,0.5273678
surprised,-668.19116,47.139786,-4.705245,13.721151,0.9514674,-5.1007657,-8.305245,-9.628006,-5.4688888,0.51091707,-8.244247,1.1428028,-8.730589,0.5742853,0.580787,0.61982596,0.6366242,0.5876603,0.58013093,0.56464636,0.64692986,0.6324604,0.5955391,0.6457239,0.6073785
surprised,-653.0896,51.12251,-0.3963865,13.839716,-1.9285264,-1.7304401,-8.602907,-11.684995,-6.61873,0.65195054,-5.4619513,-1.3823807,-7.9610868,0.512346,0.5365376,0.59061736,0.60078055,0.5475349,0.56922626,0.5308518,0.5527033,0.54043525,0.5126318,0.5702769,0.6381464
surprised,-650.4084,44.525436,-3.289431,8.4315,-5.7564473,-3.3576188,-8.847265,-9.746706,-8.942404,-0.3396451,-8.089939,-0.20805784,-8.248758,0.63576293,0.6718885,0.59310704,0.5439139,0.56095624,0.5494371,0.6341702,0.6405915,0.5592591,0.59105635,0.5942229,0.5391404
surprised,-591.24066,45.74095,-6.534701,10.830641,-1.0096093,-6.222334,-9.543665,-10.192096,-9.208443,1.8554968,-9.908838,2.0408666,-7.775535,0.5095078,0.5625659,0.5477313,0.5588456,0.553124,0.57082146,0.56311077,0.613071,0.6421539,0.62556344,0.6466526,0.530026
surprised,-543.88837,36.914673,-5.7908926,8.311383,-4.322779,-4.2839303,-9.974771,-10.637982,-11.0405,-0.12835993,-8.930067,0.024433408,-7.2116904,0.5294617,0.526404,0.5183094,0.54269296,0.63071924,0.5569305,0.45717004,0.51477206,0.5565001,0.6062886,0.6750842,0.56238186
surprised,-588.9667,40.397083,-5.404899,8.881064,-4.5532713,-4.9513783,-11.202842,-15.162119,-7.823494,-0.23389171,-8.228785,0.92658526,-9.503173,0.5228365,0.54768366,0.5920918,0.6081609,0.6455256,0.55618346,0.57428366,0.56259733,0.57486314,0.58151644,0.5145214,0.4718651
surprised,-569.887,42.67232,-6.901193,6.83134,-3.2226076,-3.5675173,-13.613482,-10.978048,-9.850396,0.64069945,-8.540716,0.81288457,-8.86486,0.5724061,0.54981977,0.49529055,0.522388,0.60300887,0.6447787,0.61167395,0.6375399,0.6671253,0.6664451,0.5815253,0.53741217
neutral,-636.0037,47.21715,-9.615252,8.324896,-9.739891,-1.6216105,-12.593927,-4.4776073,-3.6764803,-2.4645076,-5.582109,-2.1129625,-3.498983,0.3422876,0.34784296,0.31240487,0.35451436,0.3643814,0.43060878,0.42928568,0.458525,0.445304,0.38562948,0.35832614,0.29343703
neutral,-636.7239,41.088577,-8.436254,10.376582,-11.068367,-0.469257,-12.251808,-2.2844362,-4.573607,-1.0807079,-5.5849495,-2.5436954,-3.317065,0.4228912,0.43598372,0.43805856,0.47052506,0.46549073,0.48954284,0.5089565,0.5648459,0.5733857,0.53121614,0.55748093,0.46213293
neutral,-610.9205,45.361523,-11.656629,5.208721,-8.862896,-1.6351972,-13.172316,-5.7332516,-4.9302783,-2.6334124,-6.4117985,-3.2142515,-1.2155622,0.4017276,0.43576762,0.5019285,0.48851928,0.5529743,0.54385126,0.55281407,0.5818076,0.5107707,0.48677924,0.5474332,0.4474698
neutral,-628.39044,40.946583,-10.537265,4.9768,-11.821715,-2.828456,-14.484904,-6.8018875,-6.1801066,-3.6070805,-7.047058,-5.619368,-3.1504579,0.4143313,0.42432597,0.40742043,0.44221514,0.5505135,0.5631065,0.55880654,0.54567283,0.52804613,0.5284568,0.52307695,0.41857782
calm,-648.3293,45.18541,-3.1360538,10.040802,-9.445921,1.2931192,-11.179779,-2.9647462,-4.6520967,-1.206441,-7.5382385,-1.2213563,-1.9448708,0.41500548,0.34941933,0.31404427,0.3747278,0.41041222,0.5121118,0.45404488,0.45359668,0.4970537,0.5015148,0.5611532,0.4833063
calm,-644.66785,40.272358,-8.632745,7.6384616,-10.623949,0.088277735,-13.193527,-3.0913124,-5.4093533,-1.9323788,-10.143742,-1.8862393,-1.9979758,0.38777125,0.41509762,0.32468775,0.3636238,0.36343685,0.45101112,0.46501747,0.42664948,0.4757446,0.50641155,0.5589119,0.48045084
calm,-642.4061,40.307766,-7.7545056,3.5683856,-8.758309,-3.376204,-13.013106,-5.985577,-5.7069144,-3.8865416,-8.712007,-3.5710123,-3.0694592,0.3362779,0.30974805,0.26705888,0.2312106,0.31639016,0.39279726,0.41946477,0.4225993,0.3938088,0.44283125,0.4631674,0.33582705
calm,-635.1071,42.24308,-14.361285,1.453368,-11.140609,-3.9639778,-16.19072,-7.2284636,-7.0064316,-4.8499174,-10.062667,-6.4693666,-4.6876354,0.36477232,0.3457583,0.29587215,0.28579193,0.34356797,0.41697314,0.4680415,0.5291322,0.54461604,0.553657,0.49819955,0.37526345
calm,-630.3904,36.775635,-5.8859153,6.30402,-11.277266,-1.8222632,-10.184117,-6.4628353,-4.791795,-2.7717764,-9.556811,-2.6862836,-4.863838,0.40079665,0.37374026,0.3915345,0.37792656,0.3747351,0.45647866,0.5241524,0.65076786,0.5845252,0.5107893,0.4851803,0.46038663
calm,-642.05493,38.53179,-8.67413,5.23873,-11.573378,0.09110356,-12.967489,-5.041976,-6.3755875,-1.0715591,-10.369433,-3.2001257,-3.0046916,0.3514037,0.3781312,0.28157273,0.20559567,0.26176697,0.3554185,0.4354497,0.5181266,0.4449754,0.37038466,0.33970213,0.32538885
calm,-646.2036,35.871178,-8.476862,-0.61047673,-9.165857,-3.2892773,-16.534803,-8.402836,-6.7084866,-4.603968,-13.080854,-4.316427,-5.7490005,0.35003045,0.29385516,0.23769729,0.22466435,0.29308605,0.36588714,0.43103606,0.48029524,0.49717513,0.46501794,0.43522686,0.35502455
calm,-648.55,42.5121,-6.8795524,1.5120816,-8.749972,-2.3240495,-15.247409,-6.1844153,-4.8311677,-3.0997021,-13.484154,-4.4115586,-4.7326584,0.28756666,0.25551128,0.24997714,0.20305476,0.25895113,0.3273272,0.50726444,0.5995221,0.47413975,0.39351463,0.4225382,0.35787457
happy,-575.56647,34.56,-20.44198,10.081789,-14.415045,-0.73521113,-15.927071,-6.626151,-5.0520988,-3.8676968,-5.914289,-6.3140626,-2.7805848,0.4392449,0.37169906,0.35501382,0.36137965,0.41738918,0.51130253,0.6162384,0.56432384,0.52335227,0.5299908,0.5206137,0.4456982
happy,-590.3561,35.84345,-15.852815,12.687764,-14.81881,-0.89247596,-15.651283,-5.375376,-5.583802,-5.0559726,-4.827754,-5.440709,-1.7643279,0.40465182,0.38741285,0.34285265,0.3727183,0.39339978,0.44789174,0.52742136,0.6546746,0.5552448,0.46513045,0.4891822,0.43300956
happy,-588.6567,33.769527,-21.027287,6.0000205,-13.921865,-4.5616026,-19.63547,-7.2073016,-5.20015,-6.889899,-5.944564,-8.018769,-2.5668952,0.34517413,0.32884595,0.32424343,0.27363253,0.3832475,0.44003496,0.4553473,0.4752915,0.4111197,0.33593935,0.34349123,0.35328057
happy,-576.1767,38.166534,-15.160161,8.30852,-12.696085,-4.5295234,-17.790194,-4.8145304,-3.647647,-5.1496606,-5.366018,-5.7171726,-2.8136425,0.4254836,0.42472333,0.4041295,0.43269846,0.35866857,0.4417368,0.51598907,0.53797084,0.5407724,0.5526414,0.4881033,0.50814676
happy,-467.28952,21.498287,-29.042463,8.598585,-23.426256,-6.396886,-17.744053,-6.5705996,-8.541159,-8.708085,-4.8875914,-9.502911,-1.4834577,0.3477352,0.30332607,0.2941447,0.3001124,0.37692097,0.39479443,0.41738915,0.5272261,0.40950274,0.38175616,0.43490016,0.36080304
happy,-475.95993,26.059141,-31.481194,9.232283,-22.115576,-9.030833,-17.058064,-7.1362257,-6.8231683,-8.191173,-3.3823295,-8.546258,-0.0025458294,0.44322756,0.36026213,0.31395555,0.3385544,0.41261384,0.43756798,0.52459323,0.5415692,0.5610436,0.5299395,0.49551123,0.46341482
happy,-519.7252,29.097778,-23.909935,6.3750443,-15.418094,-10.565143,-19.204975,-6.9594793,-4.1870775,-10.506055,-4.867059,-9.175411,-1.8641894,0.4022458,0.30579445,0.26464042,0.29616794,0.37050274,0.45965904,0.4236953,0.45209765,0.51966834,0.4272752,0.38529652,0.34428126
happy,-525.23016,28.007957,-23.94529,5.535913,-18.182102,-8.698696,-17.575865,-8.557472,-7.2676353,-9.86933,-4.9414907,-9.404228,-1.2718929,0.35646698,0.33648157,0.2772251,0.2494074,0.23145021,0.31733558,0.40826917,0.39530894,0.44821826,0.47424638,0.41534573,0.3271917
sad,-661.7297,44.804886,-10.804073,6.9204893,-11.222769,-2.6543956,-14.453998,-6.645709,-6.761495,-2.873341,-8.886383,-1.3246579,-1.844005,0.30176,0.2560239,0.22173762,0.2905234,0.23930095,0.2401493,0.2682555,0.31477234,0.471872,0.5080129,0.3924062,0.37520072
sad,-655.25543,47.70796,-9.586623,8.581195,-10.181234,-0.58075553,-12.210507,-6.970481,-4.568159,-2.682611,-7.2278185,-2.128292,-2.8990579,0.29273954,0.23797841,0.32568762,0.33547354,0.3006065,0.29474983,0.29261708,0.37438503,0.47934482,0.436561,0.40648806,0.3085521
sad,-641.8625,37.142788,-6.2339764,3.7232866,-8.89117,-5.044276,-16.173445,-5.607727,-4.734195,-4.8004265,-6.3860397,-4.0936656,-2.8833134,0.2815349,0.21086839,0.2810071,0.25749797,0.23889576,0.28367138,0.34320644,0.5085443,0.5416101,0.42428064,0.34724388,0.29299265
sad,-669.4748,38.79513,-6.6578803,6.8921046,-7.7545347,-3.2849917,-13.345054,-6.3401165,-2.949013,-3.8042214,-6.810326,-3.2362309,-3.592888,0.33128327,0.26941335,0.24021211,0.32286462,0.28562906,0.30352223,0.36378965,0.43107873,0.62412655,0.61934596,0.4863504,0.40361574
sad,-651.2147,41.246716,-9.554459,4.6318245,-13.768059,-5.311481,-18.685673,-10.617203,-7.504853,-5.652767,-6.2134337,-3.3703692,0.740799,0.50418895,0.54171914,0.37796786,0.36873844,0.3416395,0.3146389,0.3158083,0.36874765,0.4099515,0.4010051,0.3973261,0.42627102
sad,-667.14594,48.2633,-5.736799,7.1099567,-9.536585,-5.322607,-17.201653,-9.721913,-7.4023066,-4.317484,-6.9582753,-3.628138,-3.6895998,0.49832112,0.36004037,0.28591406,0.30907756,0.3132186,0.29897627,0.34994432,0.33781093,0.35088667,0.39814514,0.4906364,0.5062273
sad,-643.8424,37.35697,-7.487296,2.3082392,-9.799145,-6.106618,-18.849718,-11.817945,-7.9444685,-6.3030157,-7.467217,-6.9283996,-3.2020943,0.5313316,0.5387361,0.38288313,0.3630516,0.37744075,0.41702312,0.39188975,0.40447566,0.46101084,0.4410668,0.48436865,0.44593114
sad,-652.25946,39.34532,-7.851786,5.325517,-10.203532,-9.009614,-18.816296,-10.453232,-5.7152987,-7.7533092,-7.561572,-6.0749273,-2.509357,0.42066935,0.491137,0.41693845,0.3758358,0.34367105,0.36493865,0.33897546,0.35468343,0.39819774,0.40778357,0.38861707,0.37511802
